Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
3,8,1,11,1,11
22,17,8,1,19,18
23,16,7,1,20,17
24,15,6,2,21,16
23,14,5,3,22,15
22,13,4,4,23,14
21,12,3,5,22,13
20,11,2,6,21,12
19,10,1,7,20,11
18,9,1,8,19,10
17,8,1,9,18,9
16,7,2,10,17,8
15,8,3,11,16,7
14,9,2,10,15,8
13,10,1,9,14,9
12,11,2,8,13,10
11,10,3,7,12,11
10,9,2,8,11,10
9,8,1,9,10,9
8,7,2,10,9,8
7,8,3,11,8,7
6,9,2,10,7,8
5,10,1,9,6,9
4,9,2,8,5,10
3,8,1,9,4,9
2,9,2,10,3,8
2,10,3,9,2,8
3,10,2,8,1,9
4,9,1,9,2,10
3,8,1,10,1,11
2,7,1,11,2,12
1,7,2,12,3,11
1,8,3,11,2,10
2,7,2,11,1,11
3,8,1,11,1,11
