Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
7,16,8,13,6,12
6,21,10,8,8,10
6,20,9,9,7,11
6,19,8,10,6,12
6,18,7,11,5,13
7,17,6,12,4,14
8,16,5,13,4,15
7,15,4,14,5,16
7,14,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
6,12,4,15,6,17
6,13,5,16,7,17
5,14,6,17,8,16
4,15,7,17,9,15
5,15,8,16,9,14
6,16,9,15,8,13
7,17,9,14,7,12
7,16,8,13,6,12
8,15,7,12,5,13
9,14,6,12,4,14
8,14,5,13,4,15
7,13,4,14,5,16
