Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
14,20,13,6,14,17
4,8,21,2,3,18
5,7,22,3,2,17
6,6,23,4,1,16
7,5,24,5,1,15
8,4,25,6,1,14
9,3,26,7,2,13
10,2,25,8,3,12
11,1,24,9,4,11
12,0,23,10,5,10
13,0,22,11,5,9
14,1,21,12,6,8
15,1,20,13,7,7
16,2,19,14,8,6
17,3,18,15,9,5
18,4,17,16,10,4
19,5,16,17,11,3
20,6,15,18,12,3
21,7,14,17,13,4
22,8,13,16,14,5
23,9,12,15,15,6
24,10,11,16,16,7
23,11,10,15,17,8
22,12,9,14,18,9
21,13,8,13,19,10
20,14,7,12,20,11
19,15,8,11,19,12
18,16,9,10,18,12
17,17,10,9,17,13
16,18,11,8,16,14
15,19,12,7,15,15
14,20,13,6,14,16
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
13,20,14,6,13,17
14,20,13,6,14,17
