Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
19,18,10,5,15,16
21,16,5,0,18,10
20,17,6,0,19,11
19,18,7,0,18,12
18,19,8,0,17,13
17,20,9,0,16,14
16,21,10,0,15,15
15,22,11,0,14,16
14,23,12,0,13,17
13,24,13,0,12,18
14,23,12,0,13,19
15,22,13,0,12,20
16,21,12,1,13,19
17,20,11,2,13,18
18,19,10,3,14,17
19,18,9,4,15,16
20,17,8,5,16,15
21,16,8,6,17,14
22,15,7,7,18,13
23,14,6,8,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
17,20,12,3,15,16
18,19,11,4,14,17
19,18,10,5,15,16
20,17,9,6,16,15
21,16,8,7,17,14
22,15,7,8,18,13
23,14,6,9,19,12
22,15,7,8,20,11
21,16,8,7,19,12
20,17,9,6,18,13
19,18,10,5,17,14
18,19,11,4,16,15
