Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
13,2,14,1,13,0
17,12,13,14,22,7
16,13,14,15,23,6
15,14,13,16,23,6
14,15,12,17,23,6
13,16,11,18,23,6
12,17,10,19,23,6
11,18,9,20,23,6
10,19,9,20,23,6
9,20,8,19,23,6
8,19,9,18,23,6
9,18,10,17,22,5
10,17,11,16,21,6
11,16,12,15,21,6
12,15,13,14,21,6
13,14,14,13,21,6
14,13,15,12,21,6
15,12,16,11,21,6
16,11,17,10,21,6
17,10,18,9,21,6
18,9,19,8,21,6
19,8,20,7,21,6
20,7,21,6,22,5
21,6,22,5,21,4
22,5,21,4,20,5
21,4,20,5,21,6
20,5,21,6,22,7
21,6,22,7,23,8
22,7,23,8,24,9
23,8,24,9,25,10
24,9,25,10,26,11
25,10,26,11,27,12
26,11,27,12,28,13
27,12,28,13,27,14
28,13,27,14,26,13
27,14,26,13,25,12
26,13,25,12,24,11
25,12,24,11,23,10
24,11,23,10,22,9
23,10,22,9,21,8
22,9,21,8,20,7
21,8,20,7,19,6
20,7,19,6,18,5
19,6,18,5,17,4
18,5,17,4,16,3
17,4,16,3,15,2
16,3,15,2,14,1
15,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
13,0,12,1,13,2
12,1,13,2,14,1
13,2,14,1,13,0
14,1,13,0,12,1
