Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
3,1,4,2,5,1
3,3,12,18,19,5
3,3,13,17,18,4
3,3,14,16,17,3
3,3,15,15,16,2
4,3,16,14,15,1
5,3,17,13,14,1
6,4,18,12,13,1
7,5,19,11,12,1
8,6,20,10,11,1
9,7,19,9,10,2
10,7,18,10,9,3
11,7,17,11,8,4
12,7,16,12,7,3
13,8,15,11,7,2
14,9,16,11,6,1
15,10,17,12,6,1
16,11,18,13,6,1
17,12,19,14,6,1
18,13,20,15,6,1
19,14,21,16,6,1
20,15,22,17,6,1
21,16,23,18,6,1
22,17,24,19,6,1
23,18,25,20,6,1
24,19,26,21,6,1
25,20,27,22,6,1
26,21,27,22,6,1
27,22,28,23,6,1
28,23,27,24,6,1
27,24,26,23,6,1
26,23,25,22,5,1
25,22,24,21,5,1
24,21,23,20,5,1
23,20,22,19,5,1
22,19,21,18,5,1
21,18,20,17,5,1
20,17,19,16,5,1
19,16,18,15,5,1
18,15,17,14,5,1
17,14,16,13,5,1
16,13,15,12,5,1
15,12,14,11,5,1
14,11,13,10,5,1
13,10,13,9,5,1
13,9,12,8,5,1
12,8,11,7,5,1
11,7,10,6,5,1
10,6,9,5,5,1
9,5,8,4,5,1
8,4,7,3,5,1
7,3,6,2,4,1
6,2,5,1,3,1
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
5,1,4,0,3,1
4,0,3,1,4,2
3,1,4,2,5,1
4,2,5,1,4,0
