Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
23,12,20,2,21,8
4,8,24,2,17,11
5,7,25,3,16,12
6,6,26,4,15,13
7,5,27,5,14,14
8,4,27,6,13,13
9,3,28,7,12,12
10,2,28,8,11,11
11,1,27,9,10,10
12,0,26,10,9,9
13,0,26,11,8,8
14,0,26,11,9,7
15,0,26,11,10,6
16,0,26,11,10,5
17,1,26,11,10,4
18,2,26,11,11,3
19,3,26,11,12,2
20,4,26,11,13,1
21,5,26,11,14,2
22,6,26,11,15,3
23,7,25,10,16,4
24,8,24,11,17,5
25,9,23,12,18,6
26,10,22,11,19,7
26,11,21,10,20,8
26,11,20,9,21,7
26,11,19,8,22,8
26,11,20,7,23,8
26,11,21,6,23,8
27,10,20,5,23,8
28,9,19,6,24,7
27,10,18,5,25,6
26,11,19,4,24,7
25,10,20,3,23,8
26,9,19,4,22,7
27,8,18,5,23,6
26,9,17,4,24,5
25,10,18,3,23,6
24,11,19,2,22,7
23,12,20,2,21,8
24,11,19,2,20,9
25,10,18,3,21,8
26,9,17,4,22,7
27,8,16,5,23,6
26,9,17,4,24,5
25,10,18,3,23,6
24,11,19,2,22,7
23,12,20,2,21,8
24,11,19,2,20,9
25,10,18,3,21,8
26,9,17,4,22,7
27,8,16,5,23,6
26,9,17,4,24,5
25,10,18,3,23,6
24,11,19,2,22,7
23,12,20,2,21,8
24,11,19,2,20,9
25,10,18,3,21,8
26,9,17,4,22,7
27,8,16,5,23,6
26,9,17,4,24,5
25,10,18,3,23,6
24,11,19,2,22,7
23,12,20,2,21,8
24,11,19,2,20,9
25,10,18,3,21,8
26,9,17,4,22,7
27,8,16,5,23,6
26,9,17,4,24,5
25,10,18,3,23,6
24,11,19,2,22,7
23,12,20,2,21,8
24,11,19,2,20,9
25,10,18,3,21,8
26,9,17,4,22,7
27,8,16,5,23,6
26,9,17,4,24,5
25,10,18,3,23,6
24,11,19,2,22,7
23,12,20,2,21,8
24,11,19,2,20,9
25,10,18,3,21,8
26,9,17,4,22,7
27,8,16,5,23,6
26,9,17,4,24,5
25,10,18,3,23,6
24,11,19,2,22,7
