Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
2,5,3,4,2,3
18,21,25,26,21,16
19,22,26,25,20,17
20,22,27,24,19,18
21,22,26,25,18,19
22,23,25,26,17,18
23,24,25,26,16,17
24,25,26,27,15,16
25,26,27,28,14,15
26,27,27,28,13,14
27,28,28,29,12,13
28,29,27,28,11,12
27,28,26,27,10,11
26,27,25,26,9,10
25,26,24,25,8,9
24,25,23,24,7,8
23,24,22,23,6,7
22,23,21,22,5,6
21,22,20,21,4,5
20,21,19,20,3,4
19,20,18,19,2,3
18,19,17,18,2,3
17,18,16,17,2,3
16,17,15,16,2,3
15,16,14,15,2,3
14,15,13,14,2,3
13,14,12,13,2,3
12,13,11,12,2,3
11,12,10,11,2,3
10,11,9,10,2,3
9,10,8,9,2,3
8,9,7,8,2,3
7,8,6,7,2,3
6,7,5,6,2,3
5,6,4,5,2,3
4,5,3,4,2,3
3,4,2,3,1,2
2,3,1,2,2,1
1,2,2,1,3,2
2,1,3,2,2,3
3,2,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
3,4,2,3,1,4
2,3,1,4,2,5
1,4,2,5,3,4
2,5,3,4,2,3
