Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
19,18,10,13,15,16
19,12,9,18,9,16
20,13,8,17,10,15
21,14,8,16,11,14
22,15,7,15,12,13
21,16,6,14,13,14
20,17,7,13,14,15
21,16,8,14,15,14
20,17,9,13,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
17,20,12,11,13,18
18,19,11,12,14,17
19,18,10,13,15,16
20,17,9,14,16,15
19,18,10,13,17,14
18,19,11,12,16,15
17,20,12,11,15,16
16,21,13,10,14,17
