Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
24,9,12,23,9,26
25,6,18,19,13,28
25,7,19,20,12,27
25,6,18,19,11,27
25,5,17,18,12,26
25,6,18,19,11,25
25,7,19,20,10,26
25,8,18,19,9,27
24,8,17,20,10,26
24,7,16,19,9,27
24,6,15,20,8,28
24,5,14,21,7,29
24,6,13,20,6,28
24,7,12,21,5,28
23,7,11,20,4,27
23,6,12,21,3,26
23,5,11,20,4,27
23,4,10,19,5,28
23,5,9,18,4,29
23,4,8,19,5,28
23,5,9,20,6,27
24,5,10,21,5,28
24,6,11,22,4,29
25,6,12,23,4,29
25,7,11,22,4,29
25,8,10,21,5,28
25,7,11,22,6,27
25,8,12,23,7,26
24,8,11,22,8,25
24,9,12,23,9,26
