Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
2,14,14,19,10,8
10,15,5,4,15,26
9,15,6,5,14,25
9,14,5,6,13,24
8,14,6,7,12,23
7,14,5,8,13,22
6,14,4,7,12,21
6,15,5,8,11,21
6,16,4,9,12,21
6,17,3,9,12,22
5,17,4,8,12,23
5,18,3,9,12,22
6,18,4,8,11,23
6,17,5,9,10,24
5,17,6,10,11,25
5,18,7,11,10,24
5,17,8,10,10,23
5,18,9,11,10,22
6,18,8,12,10,23
6,17,9,11,10,22
5,17,10,12,9,22
5,16,9,13,8,23
5,15,10,14,9,22
5,16,11,13,10,21
4,16,10,14,11,20
5,16,11,14,10,21
5,15,11,13,9,20
5,16,11,14,8,19
5,17,11,15,9,18
4,17,12,15,8,17
4,16,11,16,9,18
4,15,10,15,8,17
4,16,9,16,7,16
3,16,8,15,7,15
3,17,7,15,7,14
4,17,6,15,8,14
4,18,6,16,8,13
3,18,7,17,8,12
3,17,8,18,8,11
3,16,9,17,9,11
3,17,10,16,9,12
2,17,11,17,9,13
2,16,12,18,8,12
2,15,13,18,9,11
2,16,12,17,10,10
2,15,13,18,11,9
2,14,14,19,10,8
