Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
3,12,10,7,3,15
10,7,20,10,5,5
10,8,19,11,4,4
10,7,20,12,5,5
10,6,19,11,4,4
11,6,18,10,5,5
11,7,17,11,6,4
11,6,16,12,5,3
10,6,15,13,4,2
10,7,14,14,5,3
10,6,13,13,5,2
10,5,12,12,5,3
9,5,11,11,6,2
9,6,10,10,5,3
9,7,9,9,6,3
9,6,10,8,7,3
9,7,9,9,6,3
9,8,8,8,7,3
9,9,9,7,8,4
9,10,8,8,7,3
8,10,7,7,8,4
8,9,8,6,7,5
7,9,9,6,8,6
8,9,10,6,7,7
7,9,11,5,8,7
6,9,11,4,7,6
6,10,12,3,8,7
6,11,13,4,7,8
5,11,12,5,8,9
4,11,11,4,9,10
5,11,12,3,8,11
6,11,11,4,7,12
7,11,10,5,8,11
8,11,11,4,8,10
7,11,12,3,9,10
7,10,11,4,10,11
7,9,10,5,11,12
6,9,9,6,11,13
6,8,10,7,11,14
6,7,9,6,10,14
6,8,10,7,11,13
5,8,9,6,10,12
5,7,9,7,10,11
5,8,8,8,10,12
5,9,9,7,11,12
4,9,9,6,10,13
4,10,8,7,11,14
4,11,9,6,10,15
4,10,10,5,11,16
5,10,11,4,11,17
5,11,10,5,10,17
5,12,11,4,9,17
4,12,12,3,8,18
5,12,11,4,7,18
5,13,12,3,7,17
5,12,11,4,8,16
5,13,12,5,8,15
5,12,13,6,7,14
5,11,12,7,6,13
4,11,11,8,5,14
5,11,10,7,4,14
5,10,10,8,3,14
4,10,9,8,2,14
4,11,9,7,2,15
4,12,9,6,3,14
3,12,10,7,3,15
