Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
2,10,15,11,7,19
6,8,23,3,3,8
5,8,22,4,2,9
6,8,21,5,3,8
5,8,22,4,4,7
6,8,23,3,5,6
6,9,22,4,5,7
5,9,21,3,4,7
5,10,22,2,5,7
5,9,21,3,6,8
5,10,20,2,7,9
5,9,19,1,8,10
5,10,19,0,7,11
5,9,19,0,6,11
4,9,18,1,7,10
3,9,17,1,8,11
3,10,17,0,9,12
3,9,16,1,10,13
3,10,15,2,11,14
3,11,16,1,12,15
2,11,17,0,11,14
2,12,18,1,10,15
2,11,19,0,9,16
3,11,20,1,10,17
3,12,20,2,10,16
3,13,19,3,11,17
3,12,20,2,12,18
3,11,21,1,13,19
2,11,22,0,12,19
2,10,23,1,11,18
2,9,24,2,10,18
1,9,25,3,9,19
2,9,24,4,8,20
1,9,23,5,7,21
2,9,22,6,6,22
2,8,21,7,5,23
3,8,22,8,6,22
3,7,21,9,7,21
3,8,20,8,8,20
3,7,19,9,7,21
3,8,18,10,8,20
3,9,17,11,7,21
2,9,16,10,6,20
2,10,15,11,7,19
