Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
3,0,18,19,11,12
13,4,11,17,27,24
13,5,12,17,26,25
12,5,13,18,27,25
12,4,14,19,26,26
12,3,15,20,25,26
12,4,16,19,26,25
12,3,15,20,25,25
12,2,16,19,24,24
12,3,17,18,23,23
12,4,18,19,24,24
12,5,19,20,25,25
12,4,18,21,26,24
12,3,19,20,25,24
12,4,18,21,26,23
12,3,19,20,26,22
12,2,20,19,25,22
11,2,21,18,26,23
11,1,22,19,26,22
11,0,21,20,25,22
11,1,20,21,24,21
10,1,19,22,25,22
10,0,18,23,26,23
10,1,19,22,25,23
10,2,20,21,24,22
10,3,21,20,25,21
10,4,20,21,26,20
9,4,19,22,25,19
9,3,20,23,24,20
9,2,20,22,25,19
8,2,19,23,24,19
8,3,19,24,24,18
8,2,20,23,25,17
7,2,21,22,24,16
6,2,22,21,23,15
5,2,21,20,24,14
5,1,22,21,23,15
5,2,21,20,22,14
5,3,20,19,21,13
6,3,21,20,20,14
6,2,22,21,19,13
6,1,23,22,20,12
6,0,24,23,19,13
6,0,23,22,18,14
6,1,22,21,17,13
6,0,23,20,16,14
6,1,23,21,15,13
5,1,22,22,16,12
5,2,21,21,15,13
4,2,20,20,14,12
4,1,19,19,13,13
3,1,18,20,12,13
3,0,18,19,11,12
