Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
4,26,0,19,15,28
27,17,11,6,14,26
27,18,10,7,15,25
26,18,11,8,16,24
25,18,10,7,15,25
26,18,11,8,16,24
26,19,10,7,17,23
26,20,9,8,18,22
26,21,10,9,17,23
25,21,11,10,18,22
25,22,12,11,19,21
25,21,13,12,20,20
24,21,13,11,19,21
24,22,12,10,20,22
25,22,13,11,19,23
25,23,12,12,18,24
25,24,11,11,19,23
24,24,12,12,20,22
24,25,13,13,21,23
23,25,12,14,22,24
23,26,11,15,23,23
23,27,10,14,24,22
23,26,9,13,25,21
22,26,10,12,26,22
21,26,9,11,25,23
21,25,8,10,24,22
21,26,9,9,25,23
21,27,10,10,26,24
21,28,9,9,27,25
21,29,8,8,28,26
21,29,9,9,27,27
21,29,8,8,26,26
21,29,7,7,25,25
21,29,6,8,26,26
21,28,7,7,25,25
21,27,8,6,26,26
21,26,9,7,25,25
21,25,8,6,24,24
21,24,7,7,23,25
21,25,8,8,23,26
21,26,7,7,23,27
20,26,6,8,23,26
19,26,5,9,22,25
19,25,6,10,23,26
19,26,7,9,22,27
19,25,6,8,23,28
19,24,5,7,23,27
19,23,4,8,22,27
19,22,5,9,23,27
19,23,6,10,22,27
19,22,7,11,22,26
18,22,8,12,22,25
18,23,9,13,21,25
18,24,8,14,21,26
17,24,7,13,21,25
17,25,8,12,22,26
17,24,9,13,23,27
16,24,8,14,22,26
16,23,7,13,23,27
16,24,8,12,22,28
16,25,9,13,22,29
16,26,8,14,22,29
16,25,8,15,23,28
16,26,8,16,23,29
16,25,9,17,23,29
16,24,8,16,23,29
16,23,9,17,24,28
15,23,8,16,24,27
15,22,7,15,25,28
14,22,8,14,24,28
15,22,7,13,24,27
15,23,6,14,25,28
15,22,7,13,24,28
15,23,6,14,23,28
15,22,5,13,22,28
15,23,4,12,21,28
15,24,3,12,21,27
15,23,4,11,22,28
15,22,4,12,22,27
15,21,3,11,23,28
14,21,4,12,23,27
13,21,3,11,22,26
13,22,2,10,21,27
13,21,1,9,20,28
13,20,2,8,19,29
13,19,1,8,20,28
13,20,2,9,19,27
12,20,2,10,18,27
11,20,2,11,17,27
10,20,3,10,16,27
10,21,4,11,17,27
10,20,5,12,17,26
10,21,4,11,17,27
10,20,5,12,17,26
9,20,4,13,17,25
8,20,4,12,16,26
8,19,5,12,17,27
7,19,6,13,17,26
7,20,7,14,18,27
7,21,8,13,17,28
6,21,7,14,16,28
6,22,8,13,15,28
5,22,7,14,15,29
6,22,8,13,16,28
7,22,9,14,16,29
7,23,8,15,16,29
6,23,9,14,15,28
5,23,8,15,15,29
5,22,7,16,16,28
5,21,6,17,15,28
5,22,5,18,14,28
5,23,4,19,14,29
5,24,3,20,14,29
4,24,2,20,14,29
4,25,1,20,14,29
4,26,0,19,15,28
