Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
2,18,17,8,18,5
7,14,21,4,27,6
7,13,22,5,26,5
7,14,21,4,26,4
7,15,22,5,25,4
7,14,23,4,24,5
7,13,24,5,23,6
6,13,23,6,24,7
6,14,22,7,23,6
7,14,23,8,24,5
6,14,22,7,23,4
6,13,23,8,22,3
6,14,22,7,21,4
6,13,23,8,20,5
7,13,22,7,19,4
6,13,23,6,18,3
5,13,22,5,19,2
5,14,23,4,18,3
5,15,22,5,19,2
5,16,21,4,19,3
4,16,20,5,18,3
4,17,19,6,18,4
4,16,18,6,17,4
4,17,19,6,16,4
3,17,18,5,17,5
3,18,18,4,17,4
3,17,17,4,16,5
3,16,16,5,15,4
3,17,15,6,16,5
2,17,16,7,17,6
2,18,17,8,18,5
