Seed #,R64,R32,S16,E8,F4,C2,W
1,88,86,75,57,34,24,15
2,88,81,56,38,17,6,2
3,88,78,52,26,9,6,3
4,88,70,42,14,9,2,1
5,88,54,32,8,5,2,0
6,88,49,19,6,0,0,0
7,88,55,17,7,3,1,1
8,88,44,8,4,3,3,0
9,88,44,6,4,2,0,0
10,88,33,11,3,1,0,0
11,88,39,17,7,5,0,0
12,88,34,10,1,0,0,0
13,88,18,3,0,0,0,0
14,88,10,0,0,0,0,0
15,88,7,4,1,0,0,0
16,88,2,0,0,0,0,0

