X,Y
20,0
19,1
18,2
17,3
17,4
16,5
15,6
14,7
13,8
12,9
11,10
10,11
9,12
8,13
7,14
6,15
5,16
4,17
3,18
4,19
5,20
6,21
7,22
8,23
9,24
10,25
11,26
12,27
13,28
14,29
