X,Y
18,0
17,1
16,2
15,3
14,4
13,5
12,6
11,7
10,8
9,9
8,10
9,11
10,12
11,13
12,14
11,15
12,16
12,17
13,18
14,19
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,27
23,28
24,29
