X,Y
4,0
3,1
2,2
1,3
1,4
1,5
1,6
2,7
1,8
1,9
1,10
1,11
2,12
1,13
1,14
1,15
1,16
2,17
3,18
4,19
5,20
6,21
7,22
8,23
9,24
10,25
11,26
12,27
13,28
14,29
