X,Y
15,0
14,1
13,2
12,3
11,4
10,5
9,6
8,7
7,8
6,9
5,10
4,11
3,12
2,13
3,14
4,15
5,16
6,17
7,18
8,19
9,20
10,21
11,22
12,23
13,24
14,25
15,26
16,27
17,28
18,29
