X,Y
7,0
6,1
5,2
4,3
3,4
2,5
3,6
2,7
1,8
1,9
1,10
2,11
3,12
4,13
5,14
6,15
7,16
8,17
9,18
9,19
10,20
10,21
9,22
10,23
11,24
12,25
13,26
14,27
15,28
16,29
