X,Y
12,0
11,1
10,2
9,3
8,4
8,5
8,6
7,7
6,8
5,9
4,10
3,11
2,12
1,13
1,14
1,15
1,16
2,17
3,18
4,19
5,20
6,21
7,22
8,23
9,24
9,25
10,26
11,27
12,28
13,29
