X,Y
7,0
6,1
5,2
4,3
3,4
2,5
1,6
1,7
1,8
1,9
2,10
3,11
3,12
2,13
3,14
4,15
5,16
5,17
5,18
5,19
6,20
7,21
8,22
9,23
10,24
11,25
12,26
13,27
14,28
15,29
