X,Y
17,0
16,1
15,2
14,3
13,4
12,5
11,6
10,7
9,8
8,9
7,10
6,11
5,12
4,13
3,14
2,15
1,16
2,17
2,18
2,19
3,20
3,21
3,22
3,23
4,24
5,25
6,26
7,27
8,28
9,29
