X,Y
14,0
13,1
12,2
11,3
10,4
9,5
8,6
7,7
6,8
5,9
4,10
3,11
2,12
1,13
2,14
3,15
4,16
5,17
6,18
7,19
7,20
7,21
8,22
9,23
10,24
9,25
10,26
11,27
12,28
13,29
