X,Y
14,0
13,1
12,2
11,3
10,4
9,5
8,6
7,7
6,8
5,9
4,10
3,11
2,12
2,13
2,14
2,15
2,16
2,17
3,18
4,19
5,20
6,21
7,22
8,23
9,24
10,25
9,26
10,27
11,28
12,29
