X,Y
5,0
4,1
3,2
4,3
5,4
6,5
6,6
7,7
7,8
6,9
5,10
6,11
6,12
7,13
7,14
7,15
6,16
5,17
4,18
5,19
6,20
7,21
8,22
9,23
10,24
11,25
12,26
13,27
14,28
15,29
