X,Y
18,0
17,1
16,2
15,3
14,4
13,5
12,6
11,7
10,8
9,9
8,10
7,11
6,12
5,13
4,14
4,15
5,16
6,17
7,18
8,19
9,20
10,21
11,22
12,23
13,24
14,25
15,26
16,27
17,28
18,29
