X,Y
12,0
11,1
10,2
9,3
8,4
7,5
6,6
5,7
4,8
3,9
2,10
2,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
2,19
2,20
2,21
2,22
3,23
4,24
5,25
6,26
7,27
8,28
9,29
