X,Y
16,0
15,1
14,2
13,3
12,4
11,5
10,6
9,7
8,8
7,9
6,10
5,11
4,12
3,13
2,14
1,15
1,16
1,17
2,18
1,19
1,20
2,21
2,22
3,23
4,24
5,25
6,26
7,27
8,28
9,29
