X,Y
25,0
24,1
23,2
22,3
21,4
20,5
19,6
18,7
17,8
16,9
15,10
14,11
14,12
13,13
12,14
11,15
10,16
9,17
9,18
8,19
7,20
6,21
5,22
4,23
4,24
5,25
6,26
6,27
7,28
8,29
